Ingr,Match,Score
sourdough croutons,croutons,0.7071067811865475
Swiss Chocolate ice cream,ice cream cake,0.5773502691896258
creamy goat cheese,"cheese, goat",0.8164965809277259
Apple slice,"breakfast link, pattie, or slice, meatless",0.2886751345948129
lemon drops,"lemon, raw",0.4999999999999999
almond-flavored liqueur,"cordial or liqueur, coffee flavored",0.5163977794943222
baby-back ribs,baby ruth,0.40824829046386296
chicken broth,"chicken, chicken roll, roasted",0.5773502691896258
Mexican cane sugar,sugar cane beverage,0.6666666666666667
thin spaghetti,spaghetti sauce,0.4999999999999999
lotus seeds,mixed seeds,0.4999999999999999
peel and white pith removed,beans and white rice,0.4472135954999579
soy oil,cottonseed oil,0.4999999999999999
apricot halves in heavy syrup,"orange, canned, in syrup",0.4472135954999579
baby portabella mushrooms,"mushrooms, raw",0.40824829046386296
poppy seed bun,poppy seed dressing,0.6666666666666667
belly or tail meat,"meat spread or potted meat, nfs",0.5303300858899106
from Crispy Eggplant Parmesan recipe,"cornbread, made from home recipe",0.3999999999999999
praline paste,wasabi paste,0.4999999999999999
crusty rolls,pizza rolls,0.4999999999999999
pizza crusts,dessert pizza,0.4999999999999999
asparagus,"asparagus, raw",0.7071067811865475
Sweet chili sauce,tomato chili sauce,0.6666666666666667
Fresco and Rolls,"ham and cheese sandwich, with lettuce and spread",0.3651483716701107
pumpkin pie puree,"pie, pumpkin",0.8164965809277259
portobello mushroom tops,"mushroom soup, nfs",0.33333333333333337
crabs,"crabs in tomato-based sauce, puerto rican style",0.35355339059327373
Louisiana-style green hot sauce,hot pepper sauce,0.5163977794943222
Calabrian chile flakes,"cereal, rice flakes",0.33333333333333337
anchovy,"anchovy, canned",0.7071067811865475
evaporated cane juice,"fruit juice blend, 100% juice",0.4364357804719848
rice crackers,"crackers, rice",0.9999999999999998
chipotle chile puree,"chipotle dip, light",0.33333333333333337
hot cherry peppers,"hot peppers, cooked",0.6666666666666667
Montreal Steak Seasoning blend,"cheese, mexican blend",0.2886751345948129
provolone,"cheese, provolone",0.7071067811865475
pumpkin shaped cookie cutter,"cookie, pumpkin",0.7071067811865475
puff pastry sheet,"pastry, puff",0.8164965809277259
Dry Rub seasoning,puerto rican seasoning with ham,0.2581988897471611
pretzel rod,"pretzel, baby food",0.40824829046386296
banana-habanero chocolate,"fudge, chocolate, chocolate-coated",0.47140452079103173
Queso fresco,queso fresco,0.4999999999999999
domestic shrimp,shrimp scampi,0.4999999999999999
deli beef,"beef, prepackaged or deli, luncheon meat",0.5773502691896258
Orange slice,"breakfast link, pattie, or slice, meatless",0.2886751345948129
12-grain bread,"bread, whole grain white",0.5773502691896258
Piri piri sauce,"beef and potatoes with cream sauce, white sauce or mushroom sauce",0.420084025208403
Crenshaw melon,"bitter melon, cooked",0.40824829046386296
carved turkey,"turkey, ground",0.4999999999999999
beef bouillon cube,"beef, broth, bouillon, or consomme",0.5163977794943222
radish sprouts,"sprouts, nfs",0.4999999999999999
Betty Crocker¿ sugar cookie mix,"cookie, sugar wafer",0.5163977794943222
chicken chops,"chicken, chicken roll, roasted",0.5773502691896258
marscarpone cheese,"cheese, processed cheese food",0.5773502691896258
crimini mushrooms,"mushrooms, raw",0.4999999999999999
banana nut muffin mix,cereal (general mills cheerios banana nut),0.4082482904638631
mixed baby lettuces,"mixed cereal, baby food, dry, instant",0.47140452079103173
sherry or orange flavored liqueur,"cordial or liqueur, coffee flavored",0.5999999999999999
olives from bulk olive bins,"olives, stuffed",0.31622776601683794
frosting,"roll, sweet, no frosting",0.5
icing,"icing, white",0.7071067811865475
Sriracha sauce,"beef and potatoes with cream sauce, white sauce or mushroom sauce",0.5144957554275265
squid,"squid, dried",0.7071067811865475
fillet of beef steaks,"vegetarian, fillet",0.35355339059327373
fillet of beef,"vegetarian, fillet",0.40824829046386296
whole spelt flour,"milk, whole",0.40824829046386296
tomato basil pasta sauce,"pasta with tomato-based sauce, restaurant",0.6123724356957946
sheep's milk cheese,"cottage cheese, farmer's",0.5
mango ice cream,ice cream cake,0.6666666666666667
hazelnut coffee,"coffee, macchiato",0.4999999999999999
Baked Mashed Potatoes recipe,"biscuit, home recipe",0.2886751345948129
albacore tuna packed in water,"sardines, skinless, boneless, packed in water",0.5477225575051661
Country Dijon mustard,mustard,0.5773502691896258
Bulgarian feta,"cheese, feta",0.4999999999999999
granola,"cereal, granola",0.7071067811865475
veal rib chop,"veal chop, broiled, lean only eaten",0.47140452079103173
white rice vinegar,beans and white rice,0.5773502691896258
Chinese barbecue sauce,barbecue sauce,0.8164965809277259
Smucker's® Black Cherry Flavored Topping,reese's sticks,0.23570226039551587
graham cracker rectangles,"pie shell, graham cracker",0.5773502691896258
frozen lemonade mix,"frozen daiquiri mix, from frozen concentrate, reconstituted",0.5773502691896257
Alaska halibut,"halibut, raw",0.4999999999999999
taco chips,multigrain chips (sun chips),0.5773502691896258
grapeseed or peanut oil,peanut oil,0.7071067811865475
tea bag,"tea, hot, hibiscus",0.40824829046386296
European cucumber,"cucumber, raw",0.4999999999999999
ready made pie crust,"pie, pear, two crust",0.5
pastel malted milk eggs,"milk, malted",0.7071067811865475
Hershey's milk chocolate,chocolate milk drink,0.5773502691896258
reduced-fat cream of mushroom soup,"mushroom soup, cream of, canned, reduced sodium, prepared with milk",0.6454972243679029
deli-style cream cheese,"cream cheese, light",0.5773502691896258
Pimento pieces,reese's pieces,0.40824829046386296
rib loin roast,"pork roast, loin, cooked, lean only eaten",0.4364357804719848
whole-wheat flour tortillas,"bagel, whole wheat",0.5773502691896258
crepe or flour tortilla,"tortilla, flour",0.7071067811865475
multi-grain or whole-grain bread,"bread, whole grain white",0.7071067811865475
cremini mushroom caps,"mushroom soup, nfs",0.33333333333333337
sourdough bread cubes,"bread, potato",0.40824829046386296
Thai red chile pepper,"pepper, sweet, red, raw",0.5
soft hot dog bun,"roll, white, hot dog bun",0.6708203932499369
apple cider,apple cider,0.9999999999999998
egg noodles,macaroni or noodles with cheese and egg,0.5345224838248487
a sprig,"avocado, for use on a sandwich",0.2886751345948129
standing rib roast,roast beef sandwich,0.33333333333333337
spear of fresh lemongrass,"coconut, fresh",0.35355339059327373
salami,"salami, nfs",0.7071067811865475
refrigerated pie crusts,"pie, apricot, fried pie",0.47140452079103173
crackers,"crackers, multigrain",0.7071067811865475
sirloin beef,beef jerky,0.4999999999999999
vegetarian protein crumbles,"vegetarian, fillet",0.40824829046386296
calamata black olives,"olives, black",0.8164965809277259
double shot espresso,"coffee, espresso",0.40824829046386296
naval orange,"orange, raw",0.4999999999999999
Steam n' Mash,milk 'n cereal bar,0.2886751345948129
dulce de leche,"cake, tres leche",0.33333333333333337
Peach juice,"fruit juice blend, 100% juice",0.5345224838248487
fruit compote,"fruit, pickled",0.4999999999999999
pig tail,"turkey, tail",0.4999999999999999
chicken glaze seasoning,"chicken, chicken roll, roasted",0.47140452079103173
underripe pears,"pears, baby food, strained",0.35355339059327373
sugar cube,"cookie, sugar wafer, sugar free",0.5345224838248487
zesty herb and garlic seasoning mix,trail mix with nuts and fruit,0.33333333333333337
clotted cream,"cream, heavy",0.4999999999999999
prosecco sparkling wine,"wine, light",0.40824829046386296
vanilla caramels,"gelato, vanilla",0.4999999999999999
veggie cream cheese,"cream cheese, light",0.6666666666666667
cornbread stuffing cubes,cornbread stuffing,0.8164965809277259
rib end pork chops,pork sausage,0.35355339059327373
sherry wine vinegar,vinegar,0.5773502691896258
popping corn kernels,corn oil,0.40824829046386296
multi-grain pancake mix,"snack mix, plain (chex mix)",0.3779644730092272
brioche long rolls,brioche,0.5773502691896258
plain panko bread crumbs,"bread, potato",0.35355339059327373
porterhouse lamb chops,"lamb hocks, cooked",0.33333333333333337
all-purpose potato,"bread, potato",0.40824829046386296
olive or vegetable oil,olive oil,0.7071067811865475
food coloring,"cookie, baby food",0.40824829046386296
pineapple rum,rum,0.7071067811865475
cranberry juice cocktail,tomato juice cocktail,0.6666666666666667
green goddess dressing,creamy dressing,0.40824829046386296
chunky works,"vegetable soup, chunky style",0.35355339059327373
deli pickles,"pickles, sweet",0.4999999999999999
lime twist,"lime, raw",0.4999999999999999
lemon and orange zest,"orange, raw",0.35355339059327373
Multi-grain corn tortilla chips,"tortilla, corn",0.6324555320336759
round country bread,"bread, potato",0.40824829046386296
provolone picante,"cheese, provolone",0.4999999999999999
whole-grain flour tortillas,"muffin, whole grain",0.5773502691896258
spaghetti,spaghetti sauce,0.7071067811865475
"roasted, salted peanuts","peanuts, roasted, salted",1.0000000000000002
tzatziki sauce,"beef and potatoes with cream sauce, white sauce or mushroom sauce",0.5144957554275265
refrigerated flaky dough sheet,"biscuit, from refrigerated dough",0.5
tomato basil sauce,tomato chili sauce,0.6666666666666667
Ham hock flavored broth,"martini, flavored",0.35355339059327373
sriracha hot chili sauce,hot pepper sauce,0.5773502691896258
beef stew,"beef stew with potatoes, gravy",0.6324555320336759
ginger cookies,"ginger root, pickled",0.40824829046386296
water chestnuts in syrup,"orange, canned, in syrup",0.5
aluminum pie tins,"pie, apricot, fried pie",0.47140452079103173
herb marinade mix,"snack mix, plain (chex mix)",0.4364357804719848
beef sirloin steaks,beef jerky,0.40824829046386296
from large eggs,"cheeseburger, from fast food, 1 large patty",0.4364357804719848
lump blue crabmeat,"cheese, blue or roquefort",0.2886751345948129
coconut soda,coconut milk,0.4999999999999999
from 1 turkey,"cheeseburger, from fast food, 1 small patty",0.4364357804719848
plum tomato,tomato aspic,0.4999999999999999
sun gold tomatoes,sun-dried tomatoes,0.6666666666666667
cannelloni beans,"beans, nfs",0.4999999999999999
wild boar shoulder,"goose, wild, roasted",0.33333333333333337
course grits,"grits, with cheese, fat added",0.31622776601683794
blueberry pie filling,blueberry pie filling,1.0000000000000002
steak fries,steak teriyaki,0.4999999999999999
tin flat anchovy fillets,"anchovy, canned",0.35355339059327373
lemon cake mix,"cake, fruit cake, light or dark, holiday type cake",0.447213595499958
round or combination,"cake or cupcake, chocolate, devil's food or fudge, with icing or filling",0.39735970711951313
Canadian whiskey,whiskey,0.7071067811865475
grape juice,"grape juice, 100%",0.8164965809277259
Leftover rustic bread,"bread, potato",0.40824829046386296
Fontina cheese,"cheese, processed cheese food",0.5773502691896258
Jerry's Sugared Pecans,reese's sticks,0.2886751345948129
Greek feta,"cheese, feta",0.4999999999999999
inner Bibb lettuce leaves,"lettuce, cooked",0.35355339059327373
lemon juice (from 1/2 small lemon,"lemon, raw",0.4714045207910316
guava nectar,guava nectar,0.9999999999999998
pineapple wedge,"pineapple, frozen",0.4999999999999999
corn tortilla chips,"tortilla, corn",0.8164965809277259
matzo cracker sheets,"crackers, matzo",0.40824829046386296
blood,blood sausage,0.7071067811865475
shredded jack cheese blend,"cheese, colby jack",0.5773502691896258
Cut celery sticks,"celery, raw",0.40824829046386296
apple pie,"pie, apple, fried pie",0.8660254037844387
cubano peppers,"peppers, pickled",0.4999999999999999
plain cake donuts,"doughnut, cake type, plain",0.5773502691896258
Italian herb marinade mix,"snack mix, plain (chex mix)",0.3779644730092272
lemon flavored vodka,vodka,0.5773502691896258
parker house rolls,pizza rolls,0.40824829046386296
white chocolate pudding mix,"chocolate, white",0.7071067811865475
French onion soup mix,"onion soup, made from dry mix",0.6123724356957946
pita bread pockets,"bread, pita",0.8164965809277259
jumbo marshmallows,"fruit salad, including citrus fruits, with marshmallows",0.26726124191242434
serrano pepper,"pepper, serrano, raw",0.8164965809277259
soft or all-purpose flour,cake or pancake made with rice flour and/or dried beans,0.3721042037676254
pasteurized skim milk,"milk, fat free (skim)",0.5773502691896258
bran cereal,"cereal, raisin bran",0.8164965809277259
Calabrian chili paste,wasabi paste,0.40824829046386296
pork shoulder roast,"pork roast, shoulder, cooked, lean only eaten",0.6546536707079772
Japanese whiskey,whiskey,0.7071067811865475
sea kelp,"sea bass, pickled",0.40824829046386296
Snack-size candy,date candy,0.40824829046386296
ziti pasta,flavored pasta,0.4999999999999999
whole wheat pastry flour,"bagel, whole wheat",0.5773502691896258
hijiki seaweed,seaweed soup,0.4999999999999999
-inch pie shell,pie shell,0.8164965809277259
California black olives,"olives, black",0.8164965809277259
canola or peanut oil,canola oil,0.7071067811865475
Italian sweet sausage meat,"sweet bread dough, filled with meat, steamed",0.3779644730092272
roast turkey meat,"turkey, light meat, skin eaten",0.5163977794943222
Fresno or Italian cherry,"turnover or dumpling, cherry",0.5
daikon root,"daikon radish, cooked",0.40824829046386296
orange cheese,"cheese, processed cheese food",0.5773502691896258
whole-wheat spaghetti,"bagel, whole wheat",0.6666666666666667
basmati brown rice,beans and brown rice,0.5773502691896258
soft wheat bread,"bread, puri, wheat",0.6666666666666667
anato seed oil,cottonseed oil,0.40824829046386296
snicker bars,twix caramel cookie bars,0.35355339059327373
beef flank steak,"beef steak, braised, lean only eaten",0.47140452079103173
pineapple preserves,"pineapple, frozen",0.4999999999999999
turkey from deli,"turkey, prepackaged or deli, luncheon meat",0.47140452079103173
soft brioche buns,brioche,0.5773502691896258
orange peels,"orange, raw",0.4999999999999999
from about 2 large bananas,"double hamburger, from fast food, 2 large patties",0.4743416490252569
Beef broth,"vegetable broth, bouillon",0.40824829046386296
shredded cabbage blend,"cabbage, chinese, raw",0.33333333333333337
turbinado sugar,"cookie, sugar wafer, sugar free",0.5345224838248487
chocolate sandwiches,"fudge, chocolate, chocolate-coated",0.5773502691896258
buttermilk blue cheese,"cheese, blue or roquefort",0.5773502691896258
liquid from the chickpeas,"chickpeas, from canned, reduced sodium",0.4472135954999579
dry chocolate chip cookie mix,"cookie, chocolate chip",0.7745966692414834
toffee bits,"toffee, plain",0.4999999999999999
tapenade,olive tapenade,0.7071067811865475
Peel from 1/2 lemon,"cheeseburger, from fast food, 1 small patty",0.33806170189140655
spinach and cheese ravioli,"ravioli, cheese and spinach-filled, no sauce",0.7559289460184544
dumpling wrappers,cornmeal dumpling,0.4999999999999999
apple chips,"crisp, apple, apple dessert",0.5773502691896258
Louisiana-style shrimp and crab boil seasoning,shrimp with crab stuffing,0.3779644730092272
tangy sheep's milk,"goat's milk, whole",0.5
roasted pistachios,"potato, roasted, nfs",0.40824829046386296
Cellophane noodles,"noodles, cooked",0.4999999999999999
chile de arbol peppers,"peppers, pickled",0.35355339059327373
pears,"pears, baby food, strained",0.5
ricotta and spinach ravioli,"ravioli, cheese and spinach-filled, no sauce",0.5669467095138409
Mediterranean flat bread,"bread, potato",0.40824829046386296
pearl mozzarella balls,"cheese, mozzarella, nfs",0.33333333333333337
a green salad,"seven-layer salad, lettuce salad made with a combination of onion, celery, green pepper, peas, mayonnaise, cheese, eggs, and/or bacon",0.4815434123430769
Tangelo orange zest,"orange, raw",0.40824829046386296
wax beans,"beans, nfs",0.4999999999999999
Turkey drippings,animal fat or drippings,0.35355339059327373
garlic scapes,garlic sauce,0.4999999999999999
brown rice crisp cereal,"cereal, rice flakes",0.5773502691896258
refrigerator pizza dough,dessert pizza,0.40824829046386296
Acai blueberry juice mix,blueberry juice,0.7071067811865475
Pineapple salsa,"salsa verde or salsa, green",0.5345224838248487
beef filet steak,"beef steak, braised, lean only eaten",0.47140452079103173
seasoning,puerto rican seasoning with ham,0.4472135954999579
egg mix,"snack mix, plain (chex mix)",0.5345224838248487
from the rabbit,"lentils, from canned",0.33333333333333337
decorators' icing,"icing, white",0.4999999999999999
pomegranate seeds,mixed seeds,0.4999999999999999
Lingonberry jam,"jam, preserve, all flavors",0.35355339059327373
strawberry puree,"strawberry juice, 100%",0.40824829046386296
chardonnay vinegar,vinegar,0.7071067811865475
Chilled dough circles,"bread, sour dough",0.33333333333333337
Jamaican white rum,rum,0.5773502691896258
Fresno chiles,"chiles rellenos, cheese-filled",0.35355339059327373
dried fruit crackers,"fruit mixture, dried",0.6666666666666667
Parsley puree,"yogurt, whole milk, baby food, with fruit and multigrain cereal puree, nfs",0.20412414523193148
stout beer,beer,0.7071067811865475
challa bread,"bread, potato",0.4999999999999999
striped-bass fillets,"sea bass, pickled",0.33333333333333337
pineapple chucks,"pineapple, frozen",0.4999999999999999
Irish butter,"butter, nfs",0.4999999999999999
pecorino romano cheese,"cheese, processed cheese food",0.47140452079103173
ricotta salata cheese,"cheese, ricotta",0.8164965809277259
swordfish or,"swordfish, steamed or poached",0.7071067811865475
Black Forest deli turkey meat,"turkey, prepackaged or deli, luncheon meat",0.5477225575051661
firm Anjou or Bartlett pears,"cake or cupcake, chocolate, devil's food or fudge, with icing or filling",0.3077935056255462
vanilla bean pod,"gelato, vanilla",0.40824829046386296
fire-roasted corn,corn oil,0.40824829046386296
Parmigiano and Herb-Fortified Stock,"ham and cheese sandwich, with lettuce and spread",0.28284271247461895
Lemon flavored olive oil,olive oil,0.7071067811865475
Angus beef patties,beef jerky,0.40824829046386296
Gianduja chocolate,"fudge, chocolate, chocolate-coated",0.5773502691896258
swordfish fillets,"swordfish, coated, fried",0.40824829046386296
pumpkin pie seasoning,"pie, pumpkin",0.8164965809277259
chipotle pepper powder,pepper steak,0.40824829046386296
Canadian bacon slices,bacon bits,0.40824829046386296
cauliflower florettes,fried cauliflower,0.4999999999999999
beans in chili seasoned sauce,tomato chili sauce,0.5163977794943222
apples,"apples, baby food, toddler",0.5
meat broth,"meat broth, puerto rican style",0.6324555320336759
Torani Almond syrup,blueberry syrup,0.40824829046386296
Danish cherry liqueur,"cobbler, cherry",0.40824829046386296
regular arugula,"applesauce, regular",0.4999999999999999
Flaky salt,"salt pork, cooked",0.40824829046386296
smoked gouda cheese,"cheese, gouda or edam",0.5773502691896258
ginger nuts,pine nuts,0.4999999999999999
boxdevil's food cake mix,"jai, monk's food",0.4472135954999579
blueberries(4,"blueberries, frozen",0.4999999999999999
Italian bread,"bread, potato",0.4999999999999999
Italian herb mix,"snack mix, plain (chex mix)",0.4364357804719848
Smucker's® Seedless Red Raspberry Jam,reese's sticks,0.23570226039551587
golden mushroom soup,"mushroom soup, nfs",0.6666666666666667
Portuguese or kaiser rolls,pizza rolls,0.35355339059327373
refrigerated pie crust,"pie, pear, two crust",0.5773502691896258
Radish sprouts,"sprouts, nfs",0.4999999999999999
Italian salad dressing mix,"cobb salad, no dressing",0.5
boneless cod,cape cod,0.4999999999999999
crescent-roll dough,"roll, sour dough",0.6666666666666667
elk brisket,"beef brisket, cooked, lean only eaten",0.2886751345948129
pita bread rounds,"bread, pita",0.8164965809277259
black mission figs,"bread, black",0.40824829046386296
Mason style preserving jars,"meatballs, puerto rican style",0.25
from about 9 whole graham crackers,graham crackers,0.5773502691896258
pie dough,"pie, apricot, fried pie",0.5773502691896258
candy covered chocolates,"caramel candy, chocolate covered",0.5773502691896258
sugar cookie mix,"cookie, sugar wafer",0.6666666666666667
loaf walnut bread,"bread, potato",0.40824829046386296
beef marrow bones,"beef, neck bones, cooked",0.5773502691896258
Cocktail cherries,"cherries, canned",0.4999999999999999
tequila blanco,tequila,0.7071067811865475
sugar diamonds,"cookie, sugar wafer, sugar free",0.5345224838248487
squash blossoms,"pie, squash",0.4999999999999999
ripe olives,"olives, stuffed",0.4999999999999999
tomato-vegetable juice,"tomato and vegetable juice, 100%",0.7745966692414834
Rice crackers,"crackers, multigrain",0.4999999999999999
almond slivers,almond butter,0.4999999999999999
macaroni pasta,macaroni or pasta salad with tuna,0.5773502691896258
jasmine flowers,"flowers or blossoms of sesbania, squash, or lily, cooked",0.21320071635561041
mango pieces,mango nectar,0.4999999999999999
slab deli ham,"ham, prepackaged or deli, luncheon meat",0.47140452079103173
mandarin orange-flavored vodka,vodka,0.5
arugula and lime,"lime, raw",0.40824829046386296
Greek seasoning,puerto rican seasoning with ham,0.31622776601683794
pinto beans,"pinto beans, nfs",0.8164965809277259
stewing hen,"cornish game hen, cooked, skin eaten",0.2886751345948129
whole-grain English muffins,"muffin, whole grain",0.5773502691896258
chick peas,wasabi peas,0.4999999999999999
Peach and Cherry Compote,"ham and cheese sandwich, with lettuce and spread",0.31622776601683794
chickpea (garbanzo bean,"garbanzo bean or chickpea soup, home recipe, canned or ready-to-serve",0.46291004988627577
Smoky Corn on the Cob,sausage on biscuit,0.2581988897471611
chicory,chicory beverage,0.7071067811865475
achiote powder,nutritional powder mix (eas whey protein powder),0.4714045207910316
the juice of 1 lemon,"lemon juice, 100%, freshly squeezed",0.3999999999999999
honey liqueur,honey,0.7071067811865475
leftover dressing,creamy dressing,0.4999999999999999
from 1 large lemon,"cheeseburger, from fast food, 1 large patty",0.5669467095138409
licorice spirals,licorice,0.7071067811865475
chunky marinara sauce,"beef and potatoes with cream sauce, white sauce or mushroom sauce",0.420084025208403
American pasteurized process cheese food,"cheese, processed cheese food",0.5477225575051661
Baby fennel,"fennel bulb, raw",0.40824829046386296
Caster sugar,"cookie, sugar wafer, sugar free",0.5345224838248487
Yukon Gold and Cauliflower Puree,"ham and cheese sandwich, with lettuce and spread",0.28284271247461895
herb seasoned bread crumbs,"bread, potato",0.35355339059327373
horseradish cream,horseradish,0.7071067811865475
Vanilla sugar,"cookie, sugar wafer, sugar free",0.5345224838248487
bacon drippings,bacon bits,0.4999999999999999
macaroni-type pasta,"macaroni or pasta salad, made with mayonnaise-type salad dressing",0.5000000000000001
self-rising buttermilk cornbread mix,"cornbread, prepared from mix",0.4472135954999579
dry ranch dressing seasoning mix,"potato, scalloped, from dry mix",0.3999999999999999
chocolate candy coating wafers,"milk chocolate candy, plain",0.5
cocoa,"cocoa powder, not reconstituted",0.5
hazelnut oil,cottonseed oil,0.4999999999999999
drippings from herb-bacon oil,cottonseed oil,0.31622776601683794
cavatapi corkscrew shaped pasta twists,flavored pasta,0.31622776601683794
Creamy dill dipping sauce,"beef and potatoes with cream sauce, white sauce or mushroom sauce",0.36380343755449945
plate short ribs,"beef short ribs, boneless, with barbecue sauce, potatoes, vegetable, frozen meal",0.3481553119113957
jalapeno jack cheese,"cheese, colby jack",0.6666666666666667
flour tortilla chips,"tortilla, flour",0.8164965809277259
tofu chunks,"pie, tofu with fruit",0.35355339059327373
hickory or oak wood chunks,"cake or cupcake, chocolate, devil's food or fudge, with icing or filling",0.3077935056255462
tomato ketchup,ketchup,0.7071067811865475
tart crust,breakfast tart,0.4999999999999999
elbow macaroni,macaroni or noodles with cheese,0.31622776601683794
top-round London broil,"cornbread muffin, stick, round",0.25
chicken or fish bouillon cube,"chicken or turkey broth, bouillon, or consomme",0.5962847939999439
vegetable dye,vegetable smoothie,0.4999999999999999
baked thin-crust pizza shell,"pizza, extra cheese, thin crust",0.5999999999999999
ripe avocados,"ripe plantain, raw",0.40824829046386296
chili paste,wasabi paste,0.4999999999999999
baby eggplant,"eggplant, raw",0.4999999999999999
whole-wheat pita pocket breads,"bread, pita, whole wheat",0.6708203932499369
kefalotiri cheese,"cheese, processed cheese food",0.5773502691896258
mixed variety,mixed seeds,0.4999999999999999
Few lemon rinds,"lemon, raw",0.40824829046386296
Turkey stuffing,cornbread stuffing,0.4999999999999999
soft cream cheese,"cream cheese, light",0.6666666666666667
lychee,lychee,1.0
lettuce mix,"snack mix, plain (chex mix)",0.5345224838248487
baby clams,clams casino,0.4999999999999999
sports drink,"sports drink, nfs",0.8164965809277259
pork chorizo,chorizo,0.7071067811865475
deep-dish pie crust,"pie, pear, two crust",0.5
wild or cultivated mushrooms,"mushrooms, fresh, cooked with butter or margarine",0.3779644730092272
Parsley oil,cottonseed oil,0.4999999999999999
square spring roll wrappers,"roll, cheese",0.35355339059327373
plain hummus,"hummus, plain",0.9999999999999998
candied ginger,"apple, candied",0.4999999999999999
lobster,"lobster, canned",0.7071067811865475
anejo tequila,tequila,0.7071067811865475
piquillo or pimiento peppers,pimiento,0.5
Earl Grey tea,"tea, hot, hibiscus",0.33333333333333337
whipping cream,"cream, heavy",0.4999999999999999
French or Italian curly chicory,chicory beverage,0.31622776601683794
egg yokes,"egg, deviled",0.4999999999999999
pineapple tidbits in juice,"pineapple juice, 100%",0.5773502691896258
Asian sesame dressing,sesame dressing,0.8164965809277259
a blend,"cranberry juice, 100%, not a blend",0.5773502691896258
baby carrot,"orange-carrot juice, baby food",0.6324555320336759
gemelli pasta,flavored pasta,0.4999999999999999
swordfish collar,"swordfish, coated, fried",0.40824829046386296
bibb lettuce,"lettuce, cooked",0.4999999999999999
Orange butter,"butter, nfs",0.4999999999999999
beef pork and veal mix,pork and beef sausage,0.6708203932499369
1 lemon,"lemon, raw",0.4999999999999999
mango sorbet,sorbet,0.7071067811865475
veggie chicken,"chicken, chicken roll, roasted",0.5773502691896258
parsley roots,"parsley, raw",0.4999999999999999
cheese,"cheese, processed cheese food",0.8164965809277261
garbanzo (cecchi),"garbanzo bean or chickpea soup, home recipe, canned or ready-to-serve",0.1889822365046136
fig puree,"fig, raw",0.4999999999999999
cream-style corn,"salmon soup, cream style",0.5773502691896258
India pale ale,whiskey and ginger ale,0.2886751345948129
deli-style dill pickles,"pickles, dill",0.7071067811865475
jalapeno,stuffed jalapeno pepper,0.5773502691896258
hamburger bun,"roll, multigrain, hamburger bun",0.7071067811865475
smoked ham,"ham, smoked or cured, ground patty",0.5773502691896258
Ginger-Lime sauce,"beef and potatoes with cream sauce, white sauce or mushroom sauce",0.420084025208403
jam and jelly aisle,peanut butter and jelly,0.5
stir-fry rice noodles,"rice noodles, cooked",0.5773502691896258
dill gherkins,"pickles, dill",0.4999999999999999
pickle,"relish, pickle",0.7071067811865475
caramel gelato,"gelato, chocolate",0.4999999999999999
plain biscuit dough,"biscuit, from refrigerated dough",0.5773502691896258
mini muffin paper liners,"muffin, plain",0.35355339059327373
Chaps seasoning blend,"cheese, mexican blend",0.33333333333333337
diet soda,"soft drink, cream soda, diet",0.6324555320336759
made from store bought frozen mango concentrate,"mango, frozen",0.5345224838248487
julienne white onion,"bread, white",0.40824829046386296
the oil,cottonseed oil,0.4999999999999999
Mexican chorizo,chorizo,0.7071067811865475
A1 steak sauce,steak sauce,0.8164965809277259
Brioche bread,"bread, potato",0.4999999999999999
topping,"topping, fruit",0.7071067811865475
raisin-nut bread,"bread, raisin",0.8164965809277259
Chihuahua or Monterey Jack cheese,"cheese, blue or roquefort",0.4472135954999579
Szechwan sauce,"beef and potatoes with cream sauce, white sauce or mushroom sauce",0.5144957554275265
red fruit punch,"fruit punch, alcoholic",0.6666666666666667
Herb and Garlic,"ham and cheese sandwich, with lettuce and spread",0.3651483716701107
ricotta,"cheese, ricotta",0.7071067811865475
from a jar of pickles,"pickles, sweet",0.31622776601683794
artisanal American cheese,"cheese, processed cheese food",0.47140452079103173
Plain round toothpicks,"cornbread muffin, stick, round",0.2886751345948129
tri-color quinoa,"quinoa, fat added",0.33333333333333337
Chocolate fudge,"fudge, divinity",0.4999999999999999
Hungarian hot paprika,hot pepper sauce,0.33333333333333337
Spanish extra-virgin olive oil,olive oil,0.6324555320336759
Saga blue cheese,"cheese, blue or roquefort",0.5773502691896258
fruit cocktail in light syrup,"fruit cocktail, canned, in syrup",0.7999999999999998
jalapeno peppers,"peppers, pickled",0.4999999999999999
black bean refried beans,refried beans,0.7071067811865475
chunk light tuna in water,"tuna, canned, water pack",0.4472135954999579
French pear brandy,brandy,0.5773502691896258
garlic dill pickles,"pickles, dill",0.8164965809277259
turkey sausage links,pork sausage rice links,0.5773502691896258
peach yogurt,"peach yogurt dessert, baby food, strained",0.5773502691896258
snow pea shoots,snow cone,0.40824829046386296
wild mushroom or spinach stuffed varieties,ham or pork with mushroom sauce,0.33333333333333337
tawny port wine,"wine, light",0.40824829046386296
Mustard greens,"mustard greens, raw",0.40824829046386296
devil's food cake mix,"jai, monk's food",0.4472135954999579
cantaloupe juice,"fruit juice blend, 100% juice",0.5345224838248487
sambal oelek sauce,"beef and potatoes with cream sauce, white sauce or mushroom sauce",0.420084025208403
Ahi tuna,tuna loaf,0.4999999999999999
from about 1/2 serrano chile,"cheeseburger, from fast food, 1 small patty",0.3086066999241838
